date,weekday,article_count,active_account_count,tracked_account_count,articles_per_active_account,unique_url_count,duplicate_url_count,unique_title_count,suspected_duplicate_count,suspected_duplicate_rate,top_account_name,top_account_count,top_account_share
2026-05-30,周六,11,1,1,11.0,11,0,11,0,0.0,机器之心,11,1.0
2026-05-31,周日,0,0,1,0,0,0,0,0,0,机器之心,0,0
2026-06-01,周一,0,0,1,0,0,0,0,0,0,机器之心,0,0
2026-06-02,周二,0,0,1,0,0,0,0,0,0,机器之心,0,0
2026-06-03,周三,0,0,1,0,0,0,0,0,0,机器之心,0,0
2026-06-04,周四,0,0,1,0,0,0,0,0,0,机器之心,0,0
2026-06-05,周五,0,0,1,0,0,0,0,0,0,机器之心,0,0
2026-06-06,周六,0,0,1,0,0,0,0,0,0,机器之心,0,0
2026-06-07,周日,77,31,31,2.48,77,0,77,0,0.0,新智元,9,0.1169
2026-06-08,周一,152,51,73,2.98,152,0,148,4,0.0263,新智元,10,0.0658
2026-06-09,周二,0,0,73,0,0,0,0,0,0,CCUS国家地方联合工程研究中心,0,0
2026-06-10,周三,0,0,73,0,0,0,0,0,0,CCUS国家地方联合工程研究中心,0,0
2026-06-11,周四,0,0,73,0,0,0,0,0,0,CCUS国家地方联合工程研究中心,0,0
2026-06-12,周五,0,0,73,0,0,0,0,0,0,CCUS国家地方联合工程研究中心,0,0
2026-06-13,周六,0,0,73,0,0,0,0,0,0,CCUS国家地方联合工程研究中心,0,0
2026-06-14,周日,69,29,73,2.38,69,0,69,0,0.0,新智元,9,0.1304
2026-06-15,周一,152,52,73,2.92,152,0,148,4,0.0263,新智元,10,0.0658
2026-06-16,周二,154,55,73,2.8,154,0,150,4,0.026,机器之心,11,0.0714
2026-06-17,周三,149,53,73,2.81,149,0,144,5,0.0336,机器之心,10,0.0671
2026-06-18,周四,154,51,73,3.02,154,0,151,3,0.0195,新智元,10,0.0649
2026-06-19,周五,76,31,73,2.45,76,0,76,0,0.0,新智元,9,0.1184
2026-06-20,周六,74,28,73,2.64,74,0,74,0,0.0,新智元,9,0.1216
2026-06-21,周日,73,24,73,3.04,73,0,71,2,0.0274,机器之心,12,0.1644
2026-06-22,周一,151,55,73,2.75,151,0,151,0,0.0,新智元,10,0.0662
2026-06-23,周二,149,49,73,3.04,149,0,145,4,0.0268,新智元,10,0.0671
2026-06-24,周三,151,50,73,3.02,151,0,151,0,0.0,机器之心,11,0.0728
2026-06-25,周四,149,47,73,3.17,149,0,149,0,0.0,新智元,10,0.0671
2026-06-26,周五,144,49,73,2.94,144,0,142,2,0.0139,机器之心,11,0.0764
2026-06-27,周六,86,31,73,2.77,86,0,86,0,0.0,新智元,10,0.1163
2026-06-28,周日,77,29,73,2.66,77,0,77,0,0.0,新智元,9,0.1169
2026-06-29,周一,151,55,73,2.75,151,0,149,2,0.0132,新智元,9,0.0596
2026-06-30,周二,152,56,73,2.71,152,0,152,0,0.0,新智元,10,0.0658
2026-07-01,周三,155,53,73,2.92,155,0,153,2,0.0129,新智元,10,0.0645
2026-07-02,周四,158,58,73,2.72,158,0,157,1,0.0063,新智元,10,0.0633
2026-07-03,周五,159,53,73,3.0,159,0,154,5,0.0314,新智元,9,0.0566
2026-07-04,周六,98,39,73,2.51,98,0,98,0,0.0,新智元,9,0.0918
2026-07-05,周日,75,27,73,2.78,75,0,74,1,0.0133,新智元,9,0.12
2026-07-06,周一,147,55,73,2.67,147,0,147,0,0.0,新智元,9,0.0612
2026-07-07,周二,147,53,73,2.77,147,0,145,2,0.0136,新智元,9,0.0612
2026-07-08,周三,141,51,73,2.76,141,0,141,0,0.0,机器之心,9,0.0638
2026-07-09,周四,160,56,73,2.86,160,0,159,1,0.0063,新智元,9,0.0563
2026-07-10,周五,145,50,73,2.9,145,0,143,2,0.0138,新智元,9,0.0621
2026-07-11,周六,88,33,73,2.67,88,0,88,0,0.0,新智元,9,0.1023
2026-07-12,周日,78,28,73,2.79,78,0,78,0,0.0,新智元,9,0.1154
2026-07-13,周一,150,56,73,2.68,150,0,150,0,0.0,新智元,9,0.06
2026-07-14,周二,145,51,74,2.84,145,0,143,2,0.0138,机器之心,12,0.0828
2026-07-15,周三,150,52,74,2.88,150,0,148,2,0.0133,钙钛矿工厂,14,0.0933
2026-07-16,周四,252,75,102,3.36,252,0,251,1,0.004,铝途有你,35,0.1389
2026-07-17,周五,264,79,102,3.34,264,0,263,1,0.0038,铝途有你,33,0.125
2026-07-18,周六,148,46,102,3.22,148,0,148,0,0.0,铝途有你,26,0.1757
2026-07-19,周日,130,40,102,3.25,130,0,123,7,0.0538,战略前沿技术,16,0.1231
2026-07-20,周一,247,71,102,3.48,247,0,246,1,0.004,铝途有你,35,0.1417
2026-07-21,周二,270,75,102,3.6,270,0,259,11,0.0407,铝途有你,39,0.1444
